t,lead_time_true,lead_time_hat,action,reward
0,32.77196923156895,44.34013044133212,1,4.693615185900937
1,45.03881288070789,44.34013044133212,1,3.4892623746587406
2,34.892864326859424,44.34013044133212,1,4.396037685041122
3,47.97516509692216,44.34013044133212,1,3.302951527105427
4,31.58879695862579,44.34013044133212,1,4.65974330139258
5,37.271754431180845,44.34013044133212,1,4.1813867144661625
6,42.20413928416431,44.34013044133212,1,4.002108544417434
7,37.84670353201473,44.34013044133212,1,4.399717212385952
8,32.87875472659664,44.34013044133212,1,5.056536538432997
9,35.59919914219159,44.34013044133212,1,4.6679422412405565
10,45.67018570121774,44.34013044133212,1,3.812202582095252
11,47.043160384873566,44.34013044133212,1,3.68369381989487
12,49.08200031898298,44.34013044133212,1,3.6125422673631853
13,51.92085881164876,44.34013044133212,1,3.483457956040426
14,56.899544166827056,44.34013044133212,1,3.165700024002974
15,45.72408538885477,44.34013044133212,1,3.7594819250206903
16,53.676250334486525,44.34013044133212,1,3.279652911139956
17,52.0311077507691,44.34013044133212,1,3.405423443958612
18,39.17065474260416,44.34013044133212,1,4.342684457211694
19,35.04451044822634,44.34013044133212,1,4.839517742106076
20,43.45377538018874,44.34013044133212,1,3.9151335450401143
21,44.99775356871526,44.34013044133212,1,4.001846905448286
22,52.60509956151603,44.34013044133212,1,3.4635454405702193
23,38.29865304804602,44.34013044133212,1,4.649111933260867
