policy,avg_reward,std_reward,avg_episode_length
random,-985.4335181399936,134.09538250101076,24.0
greedy,-955.2345191943484,154.22558544949584,24.0
ppo,-931.7813216178304,152.87698789548904,24.0
dqn,-944.6677467630246,151.9076017060635,24.0
