ds,yhat,risk_score
2024-01-05 15:00:00,40.09549796554047,0.0
2024-01-05 16:00:00,40.525796592936395,0.0
2024-01-05 17:00:00,40.77311654065091,0.0
2024-01-05 18:00:00,40.95860801009295,0.0
2024-01-05 19:00:00,41.33895428957822,0.0
2024-01-05 20:00:00,41.894573657595664,0.0
2024-01-05 21:00:00,42.1704861778608,0.0
2024-01-05 22:00:00,41.61212828999675,0.0
2024-01-05 23:00:00,40.12595292085925,0.0
2024-01-06 00:00:00,38.316188266342955,0.0
2024-01-06 01:00:00,37.1097158527392,0.0
2024-01-06 02:00:00,37.05287370517456,0.0
2024-01-06 03:00:00,37.89613749102453,0.0
2024-01-06 04:00:00,38.840356684814175,0.0
2024-01-06 05:00:00,39.21931360628935,0.0
2024-01-06 06:00:00,39.004098605395086,0.0
2024-01-06 07:00:00,38.70168352336303,0.0
2024-01-06 08:00:00,38.795447558857575,0.0
2024-01-06 09:00:00,39.284396512814226,0.0
2024-01-06 10:00:00,39.740537753487395,0.0
2024-01-06 11:00:00,39.7782066992855,0.0
2024-01-06 12:00:00,39.441352212941496,0.0
2024-01-06 13:00:00,39.1339683669986,0.0
2024-01-06 14:00:00,39.200032777133444,0.0
2024-01-06 15:00:00,39.604626301213706,0.0
2024-01-06 16:00:00,40.03492492859585,0.0
2024-01-06 17:00:00,40.28225038057605,0.0
2024-01-06 18:00:00,40.467747354272646,0.0
2024-01-06 19:00:00,40.848099138011506,0.0
2024-01-06 20:00:00,41.40372401027327,0.0
2024-01-06 21:00:00,41.679642034772904,0.0
2024-01-06 22:00:00,41.12128965113062,0.0
2024-01-06 23:00:00,39.63511978622646,0.0
2024-01-07 00:00:00,37.825360635962994,0.0
2024-01-07 01:00:00,36.6188937266293,0.0
2024-01-07 02:00:00,36.562057083309966,0.0
2024-01-07 03:00:00,37.405326373445135,0.0
2024-01-07 04:00:00,38.34955107145142,0.0
2024-01-07 05:00:00,38.72851349717842,0.0
2024-01-07 06:00:00,38.51330400051914,0.0
2024-01-07 07:00:00,38.210894422735876,0.0
2024-01-07 08:00:00,38.304663962474585,0.0
2024-01-07 09:00:00,38.793618420699694,0.0
2024-01-07 10:00:00,39.249765165624844,0.0
2024-01-07 11:00:00,39.2874396156655,0.0
2024-01-07 12:00:00,38.95059063357676,0.0
2024-01-07 13:00:00,38.64321229186336,0.0
2024-01-07 14:00:00,38.70928220623691,0.0
2024-01-07 15:00:00,39.1138812345567,0.0
2024-01-07 16:00:00,39.54418536622838,0.0
2024-01-07 17:00:00,39.79151081817822,0.0
2024-01-07 18:00:00,39.97700779187174,0.0
2024-01-07 19:00:00,40.357359575600405,0.0
2024-01-07 20:00:00,40.91298444789742,0.0
2024-01-07 21:00:00,41.18890247238455,0.0
2024-01-07 22:00:00,40.63055008878131,0.0
2024-01-07 23:00:00,39.14438022379825,0.0
2024-01-08 00:00:00,37.33462107356267,0.0
2024-01-08 01:00:00,36.12815416426404,0.0
2024-01-08 02:00:00,36.071317520934954,0.0
2024-01-08 03:00:00,36.91458681108099,0.0
2024-01-08 04:00:00,37.85881150907899,0.0
2024-01-08 05:00:00,38.23777393479135,0.0
2024-01-08 06:00:00,38.02256443811646,0.0
2024-01-08 07:00:00,37.72015486036961,0.0
2024-01-08 08:00:00,37.813924400084574,0.0
2024-01-08 09:00:00,38.302878858319716,0.0
2024-01-08 10:00:00,38.75902560324625,0.0
2024-01-08 11:00:00,38.796700053281015,0.0
2024-01-08 12:00:00,38.45985107116341,0.0
2024-01-08 13:00:00,38.1524727294701,0.0
2024-01-08 14:00:00,38.21941400152165,0.0
2024-01-08 15:00:00,38.62488438751968,0.0
2024-01-08 16:00:00,39.05605987686937,0.0
2024-01-08 17:00:00,39.30425668649644,0.0
2024-01-08 18:00:00,39.49062501787739,0.0
2024-01-08 19:00:00,39.87184815925432,0.0
2024-01-08 20:00:00,40.428344389224655,0.0
2024-01-08 21:00:00,40.705133771408214,0.0
2024-01-08 22:00:00,40.14765274545962,0.0
2024-01-08 23:00:00,38.66235423824705,0.0
2024-01-09 00:00:00,36.8534664456828,0.0
2024-01-09 01:00:00,35.647870893987445,0.0
2024-01-09 02:00:00,35.591905608324616,0.0
2024-01-09 03:00:00,36.43604625612643,0.0
2024-01-09 04:00:00,37.38114231181365,0.0
2024-01-09 05:00:00,37.76097609523222,0.0
2024-01-09 06:00:00,37.546637956247714,0.0
2024-01-09 07:00:00,37.245099736169585,0.0
