time,y_true,y_pred
2024-02-18 00:00:00,43.89026413916884,33.89931199719836
2024-02-18 01:00:00,31.07510370378405,32.421896525533164
2024-02-18 02:00:00,51.05252529879263,32.639503687182966
2024-02-18 03:00:00,42.48147816814862,34.85770658320531
2024-02-18 04:00:00,39.65895291546112,34.63050708003905
2024-02-18 05:00:00,35.669000372391686,35.48279635706749
2024-02-18 06:00:00,34.86961241056123,34.96735879605011
2024-02-18 07:00:00,37.752818843886295,34.87921235632605
2024-02-18 08:00:00,43.353324205935714,34.642193958177444
2024-02-18 09:00:00,41.35441666837173,35.584558879136736
2024-02-18 10:00:00,43.32301635210329,36.30902380599869
2024-02-18 11:00:00,40.86785309591975,34.47202053523279
2024-02-18 12:00:00,49.70351276955428,35.77603179973753
2024-02-18 13:00:00,32.821749703574895,34.757689505820466
2024-02-18 14:00:00,51.26723458175238,34.79527299941575
2024-02-18 15:00:00,45.89398297424033,35.11328732804517
2024-02-18 16:00:00,67.80733385015077,36.24596754780572
2024-02-18 17:00:00,45.96664473475706,36.250231176097486
2024-02-18 18:00:00,52.86075653793471,36.65450409938545
2024-02-18 19:00:00,44.273227621804764,38.836747962801915
2024-02-18 20:00:00,53.39749814716103,35.402955516812476
2024-02-18 21:00:00,48.97589840610888,39.12227353673097
2024-02-18 22:00:00,34.43179729755788,36.6143043596208
2024-02-18 23:00:00,48.32253396026862,36.97360170980915
2024-02-19 00:00:00,36.05889138143967,33.74378173091771
2024-02-19 01:00:00,37.36106932568405,32.146982953424654
2024-02-19 02:00:00,37.52831406912068,32.32591701239101
2024-02-19 03:00:00,35.25690548454286,34.499821865416585
2024-02-19 04:00:00,32.09887227994959,34.42533388050364
2024-02-19 05:00:00,25.298162773175665,35.24350637342988
2024-02-19 06:00:00,36.65861941712202,34.65882140871948
2024-02-19 07:00:00,34.29262999392587,34.555441371487426
2024-02-19 08:00:00,41.17130303741478,34.36222082481757
2024-02-19 09:00:00,32.89146519866785,35.36102176179206
2024-02-19 10:00:00,36.58689366706977,36.041181006013325
2024-02-19 11:00:00,34.924175739928835,34.33288132612869
2024-02-19 12:00:00,31.39392255876568,35.53460005600947
2024-02-19 13:00:00,48.30737511532374,34.47438776829945
2024-02-19 14:00:00,35.72514694146232,34.61599446180336
2024-02-19 15:00:00,39.7734340294506,34.85738376859487
2024-02-19 16:00:00,54.60590782952018,36.01914103668191
2024-02-19 17:00:00,55.748382699262926,36.01468810994128
2024-02-19 18:00:00,47.32039960901174,36.361592769388885
2024-02-19 19:00:00,40.0656370237213,38.55730990619833
2024-02-19 20:00:00,41.59217644387228,35.126146021276625
2024-02-19 21:00:00,36.05730205972999,39.01199139028267
2024-02-19 22:00:00,43.97082560226844,36.36215239149659
2024-02-19 23:00:00,39.38615491050847,36.68374398117549
2024-02-20 00:00:00,75.668847963626,33.49584799219623
2024-02-20 01:00:00,67.98605514448217,31.900136302396266
2024-02-20 02:00:00,34.55137656884968,32.079422513229154
2024-02-20 03:00:00,36.24907000789046,34.2537307380414
2024-02-20 04:00:00,43.477209019775785,34.17785218339231
2024-02-20 05:00:00,44.658835532870704,34.99633533898505
2024-02-20 06:00:00,35.901524280475684,34.412280931451896
2024-02-20 07:00:00,45.11792830600921,34.30903960922909
2024-02-20 08:00:00,44.6125939806315,34.115420245446614
2024-02-20 09:00:00,52.12048318186688,35.11370728394902
2024-02-20 10:00:00,43.658228349357294,35.79426996952247
2024-02-20 11:00:00,42.119342546331545,34.084798332732035
2024-02-20 12:00:00,46.66299422673176,35.28744852413261
2024-02-20 13:00:00,39.12311772792422,34.22761749873264
2024-02-20 14:00:00,42.08651779480801,34.36827697152062
2024-02-20 15:00:00,47.97345008715265,34.610364015048816
2024-02-20 16:00:00,43.82371586962493,35.77185651159876
2024-02-20 17:00:00,43.36929708592827,35.76748295658968
2024-02-20 18:00:00,45.37948151636201,36.114910003427745
2024-02-20 19:00:00,41.05360984234905,38.31050445449322
2024-02-20 20:00:00,32.96346938657236,34.87931663426191
2024-02-20 21:00:00,48.57276599537929,38.76364562850768
2024-02-20 22:00:00,34.66339184236485,36.115098476484405
2024-02-20 23:00:00,40.417785213741446,36.437033409547226
2024-02-21 00:00:00,50.43699678787015,33.248755666576805
2024-02-21 01:00:00,65.12775734215778,31.65303407790828
2024-02-21 02:00:00,53.5059999994323,31.832317082095507
2024-02-21 03:00:00,43.82292475237288,34.006621633860654
2024-02-21 04:00:00,79.02223586712405,33.930755741545184
2024-02-21 05:00:00,68.96195644971692,34.749236068287104
2024-02-21 06:00:00,50.39794286106776,34.165175918988446
2024-02-21 07:00:00,56.41771985907805,34.06193333364617
2024-02-21 08:00:00,62.48867482293895,33.868317601436544
2024-02-21 09:00:00,60.45248965143457,34.866609319426594
2024-02-21 10:00:00,74.0765420185712,35.547168331319504
2024-02-21 11:00:00,58.83140712126928,33.83770736620481
2024-02-21 12:00:00,76.36434267589257,35.040349075847
2024-02-21 13:00:00,66.84707914042544,33.980514578725746
2024-02-21 14:00:00,76.84560641685836,34.121182676773145
2024-02-21 15:00:00,63.296631551011,34.363263366808155
2024-02-21 16:00:00,72.3761834889149,35.5247582743307
2024-02-21 17:00:00,47.982257776197855,35.52038399657373
2024-02-21 18:00:00,49.36898569562906,35.867806286625246
2024-02-21 19:00:00,48.32355338175326,38.06340185484996
2024-02-21 20:00:00,66.57606796675144,34.632214252570236
2024-02-21 21:00:00,51.994300461770855,38.51655705471258
2024-02-21 22:00:00,46.568295305858726,35.86799813931328
2024-02-21 23:00:00,50.66364872463773,36.18992994593925
